edge,p_value,Gene1,Gene2
KCND2+KCNH7,0.00061428772893,KCND2,KCNH7
DHX9+PABPC1L,0.0006160126124787,DHX9,PABPC1L
AP2M1+UBQLN2,0.0006160285303681,AP2M1,UBQLN2
CDC37L1+HSPA4,0.0006202255889097,CDC37L1,HSPA4
NOS1+PRKACG,0.0006216165313999,NOS1,PRKACG
SNUPN+TPR,0.0006235776314053,SNUPN,TPR
MZT2A+TUBGCP5,0.0006267245014052,MZT2A,TUBGCP5
MYBPH+OCA2,0.0006275173270479,MYBPH,OCA2
FOXRED1+NDUFB11,0.0006278500392299,FOXRED1,NDUFB11
FZD5+WNT10A,0.0006279944483544,FZD5,WNT10A
GRK5+NFKBIA,0.0006281388874455,GRK5,NFKBIA
ARHGAP39+ROBO4,0.0006294002238279,ARHGAP39,ROBO4
RPLP2+RPS15,0.0006298152631832,RPLP2,RPS15
PLD1+PRKCG,0.0006298242260884,PLD1,PRKCG
COQ2+GLRX5,0.0006301029676541,COQ2,GLRX5
EIF4G1+RPS23,0.0006305523361036,EIF4G1,RPS23
ADCY10+SDHC,0.0006310131143529,ADCY10,SDHC
PTPN11+RAP1B,0.0006340975161874,PTPN11,RAP1B
DTL+NEK2,0.0006345272439074,DTL,NEK2
GOLGA1+VPS52,0.0006346223626313,GOLGA1,VPS52
DAZL+FIGLA,0.0006365438835344,DAZL,FIGLA
MEN1+SMAD3,0.0006369857386555,MEN1,SMAD3
GLDC+MYBPH,0.0006375100131047,GLDC,MYBPH
MPHOSPH10+PDCD11,0.0006392439985189,MPHOSPH10,PDCD11
CDK1+KIF14,0.0006394050935295,CDK1,KIF14
KCNH3+KCNQ5,0.0006417125951932,KCNH3,KCNQ5
GTF3A+POLR1C,0.0006426325048471,GTF3A,POLR1C
LAS1L+PRPF31,0.0006444774537581,LAS1L,PRPF31
GRIN2C+NOS1,0.000644776152057,GRIN2C,NOS1
CAMK2B+GRIA3,0.0006451179300378,CAMK2B,GRIA3
CTNNA1+RAP1B,0.0006471786774167,CTNNA1,RAP1B
IL17A+LIF,0.0006489339346318,IL17A,LIF
CALML5+NOS1,0.0006522125229258,CALML5,NOS1
KIF15+MND1,0.0006524392775305,KIF15,MND1
F2+PRKACB,0.0006546308277102,F2,PRKACB
FGF8+TEK,0.0006549788201535,FGF8,TEK
ARID1A+BAZ1B,0.000655225519221,ARID1A,BAZ1B
ADCY10+PDE8A,0.0006562403523726,ADCY10,PDE8A
ASXL1+NRAS,0.000660049591745,ASXL1,NRAS
NFATC1+OCSTAMP,0.0006602222644459,NFATC1,OCSTAMP
EEF2+RAB28,0.0006603520555747,EEF2,RAB28
ITGAM+NCR1,0.000662342268156,ITGAM,NCR1
ETS1+PAX5,0.0006623427556769,ETS1,PAX5
ASB4+CUL2,0.0006628797778484,ASB4,CUL2
DDX31+FTSJ3,0.0006629297838477,DDX31,FTSJ3
CDC25C+KIF2C,0.0006631666429118,CDC25C,KIF2C
MRAS+SHOC2,0.0006645345895487,MRAS,SHOC2
PLK4+STIL,0.0006648308791494,PLK4,STIL
ENO4+TKTL1,0.0006682479503715,ENO4,TKTL1
EEF1A1+RPS15,0.000670366617639,EEF1A1,RPS15
GEMIN6+NUP43,0.000670824865689,GEMIN6,NUP43
ALOXE3+PNPLA1,0.000671192577048,ALOXE3,PNPLA1
RPLP2+RPS3,0.0006713348300959,RPLP2,RPS3
AGO1+GATA1,0.0006730309201383,AGO1,GATA1
LIPG+POU2F3,0.0006733194529615,LIPG,POU2F3
FDX1+SCP2,0.0006739300178073,FDX1,SCP2
NRAS+RET,0.0006754878897062,NRAS,RET
DGKB+PLCB1,0.0006755932584852,DGKB,PLCB1
CYP1A2+CYP26B1,0.0006758636153453,CYP1A2,CYP26B1
CSH2+THPO,0.0006764870606235,CSH2,THPO
EGR1+NFATC1,0.000676695828601,EGR1,NFATC1
PRKACB+TP73,0.0006769348650262,PRKACB,TP73
ERBB2+NRG1,0.0006779201651335,ERBB2,NRG1
PIP5KL1+PLCB4,0.0006798130104073,PIP5KL1,PLCB4
PDE10A+PRKACA,0.0006835825795793,PDE10A,PRKACA
EPN2+UBB,0.0006838826277449,EPN2,UBB
ADRB2+AKAP12,0.0006840550965401,ADRB2,AKAP12
DIRAS2+SYNGR1,0.0006846025001041,DIRAS2,SYNGR1
CLASRP+CLIP1,0.0006846272647965,CLASRP,CLIP1
MRPL11+RPS7,0.0006847927176322,MRPL11,RPS7
TADA1+TRRAP,0.000686071873416,TADA1,TRRAP
DTX3L+PARP9,0.0006878668185802,DTX3L,PARP9
GFAP+PLIN2,0.0006901205066328,GFAP,PLIN2
EIF3A+RPS15,0.0006905813069955,EIF3A,RPS15
TRMT112+TRMT12,0.0006913232771416,TRMT112,TRMT12
PPP2R1A+RBL2,0.0006916778805224,PPP2R1A,RBL2
PRPF31+SNRPG,0.0006982613598653,PRPF31,SNRPG
PIN1+YWHAZ,0.000698467139864,PIN1,YWHAZ
ENC1+KCTD17,0.0007013541030528,ENC1,KCTD17
CACNG8+HTR3A,0.0007016236109466,CACNG8,HTR3A
DDB1+DTL,0.0007034405737166,DDB1,DTL
PHF5A+SMNDC1,0.0007036142711561,PHF5A,SMNDC1
IFIT5+RNASEL,0.0007050474317327,IFIT5,RNASEL
NOC2L+TFB2M,0.0007052469328141,NOC2L,TFB2M
LIMK2+PARD3,0.0007056823189215,LIMK2,PARD3
GID4+WDR26,0.000708438586653,GID4,WDR26
XPO1+XPO4,0.000710668691036,XPO1,XPO4
PPP1CA+PPP1R10,0.0007117454962116,PPP1CA,PPP1R10
DDX20+NUP43,0.0007130712224321,DDX20,NUP43
CDC5L+CDT1,0.0007143031585549,CDC5L,CDT1
KCNIP2+SCN5A,0.0007144527606139,KCNIP2,SCN5A
HIF3A+UBXN7,0.0007151105403486,HIF3A,UBXN7
ITGA2B+KMT2C,0.0007156308683259,ITGA2B,KMT2C
ATP2A1+RAB28,0.000717673204413,ATP2A1,RAB28
COPS4+GRB2,0.0007194464274958,COPS4,GRB2
NOS1AP+UHMK1,0.0007200560593513,NOS1AP,UHMK1
GATM+NOS1,0.0007206495904246,GATM,NOS1
BUB1+MCM6,0.0007259867368708,BUB1,MCM6
CHCHD4+NDUFB10,0.0007267415052446,CHCHD4,NDUFB10
CUL2+ZYG11A,0.0007274108925324,CUL2,ZYG11A
F2+HTR2C,0.0007275679523028,F2,HTR2C
MRPL13+SRP54,0.0007283176302113,MRPL13,SRP54
BUB1+MELK,0.0007312264143424,BUB1,MELK
AR+SVIL,0.0007367799190558,AR,SVIL
BATF+BATF2,0.0007369947505647,BATF,BATF2
ACIN1+API5,0.0007380511541554,ACIN1,API5
IZUMO2+IZUMO4,0.000744911637863,IZUMO2,IZUMO4
RPL10L+RPS15,0.0007452354017536,RPL10L,RPS15
FTSJ1+NSUN4,0.00074544158625,FTSJ1,NSUN4
RPL13+RPS14,0.0007464882726599,RPL13,RPS14
VPS52+VPS54,0.0007479568769263,VPS52,VPS54
DDX58+TRAT1,0.0007490621967946,DDX58,TRAT1
FOXRED1+NDUFB10,0.0007528377510916,FOXRED1,NDUFB10
NECAB3+NEK2,0.0007574005333354,NECAB3,NEK2
HNRNPH1+RBM45,0.000758865100363,HNRNPH1,RBM45
ENY2+NXT2,0.0007611613833418,ENY2,NXT2
LIN7B+STXBP1,0.0007634394979286,LIN7B,STXBP1
RAP1B+YWHAZ,0.0007634778833043,RAP1B,YWHAZ
NEK9+TTC8,0.0007637056667098,NEK9,TTC8
IPO5+TNPO1,0.000767135577724,IPO5,TNPO1
CACNA1H+CACNG1,0.0007685378533959,CACNA1H,CACNG1
CD300LB+TREM2,0.0007687971380362,CD300LB,TREM2
IMP4+RPS6,0.0007706436755783,IMP4,RPS6
RPS15+RPS7,0.0007723407216641,RPS15,RPS7
ARHGEF7+CHRNA1,0.0007724380519904,ARHGEF7,CHRNA1
SCN3B+SCN5A,0.0007736724916949,SCN3B,SCN5A
RAB28+SLC6A11,0.0007759356581458,RAB28,SLC6A11
ADRB2+GRIA1,0.0007763852946795,ADRB2,GRIA1
MPV17+POLG2,0.0007766006029647,MPV17,POLG2
GOSR1+STX2,0.000778058946314,GOSR1,STX2
HNF4A+SIX2,0.0007796079999766,HNF4A,SIX2
RPL19+RPS15,0.0007796604747364,RPL19,RPS15
DACH1+EYA4,0.0007816440081478,DACH1,EYA4
PSMA4+UBA52,0.0007834941685197,PSMA4,UBA52
DOT1L+MLLT1,0.0007836028054945,DOT1L,MLLT1
FOXRED1+NDUFB7,0.0007842142217842,FOXRED1,NDUFB7
INPP4B+MTMR2,0.0007846812249527,INPP4B,MTMR2
LPIN2+MOGAT3,0.0007858689086186,LPIN2,MOGAT3
FOXRED1+NDUFA8,0.0007862401716163,FOXRED1,NDUFA8
ERC2+PCNT,0.0007871044634433,ERC2,PCNT
RGS12+RGS9,0.0007888358719425,RGS12,RGS9
CACNA1A+CACNG2,0.0007891827366285,CACNA1A,CACNG2
NCAPG+TTK,0.0007903529302567,NCAPG,TTK
HAO2+IDE,0.0007903895613657,HAO2,IDE
ADRB2+AP2B1,0.000790902952527,ADRB2,AP2B1
MYL1+SRL,0.0007913082325041,MYL1,SRL
BMPR1A+GDF6,0.0007924104898622,BMPR1A,GDF6
FOXRED1+NDUFS2,0.0007935028883859,FOXRED1,NDUFS2
RAB3D+RIMS1,0.0007947397351433,RAB3D,RIMS1
GPX6+SOD1,0.000798690647222,GPX6,SOD1
RPS15+RPS3,0.0008045054889453,RPS15,RPS3
B3GNT7+MUCL1,0.0008063065111782,B3GNT7,MUCL1
RPL10A+RPS15,0.0008063146585447,RPL10A,RPS15
TAF3+TAF5L,0.0008068245398014,TAF3,TAF5L
KIF11+KIF14,0.0008072097447892,KIF11,KIF14
PAXIP1+PRKDC,0.0008109578540092,PAXIP1,PRKDC
SCYL2+VAT1L,0.0008123771841931,SCYL2,VAT1L
PAAF1+PSMD13,0.0008124449318144,PAAF1,PSMD13
FOXRED1+NDUFV1,0.0008125090147947,FOXRED1,NDUFV1
COPB2+USO1,0.000812641135531,COPB2,USO1
POLH+UBE2V2,0.0008131179486233,POLH,UBE2V2
GRWD1+RRP9,0.000818288531174,GRWD1,RRP9
NIPBL+SETD2,0.0008238047327205,NIPBL,SETD2
KCND2+KCNQ1,0.0008276353967373,KCND2,KCNQ1
CDCA3+RRM2,0.000829224714347,CDCA3,RRM2
RPS12+RPS15,0.0008293814230342,RPS12,RPS15
FOXRED1+NDUFB4,0.0008309820314594,FOXRED1,NDUFB4
ACTR3B+NCKIPSD,0.0008313656188324,ACTR3B,NCKIPSD
FBL+NAF1,0.0008337699217767,FBL,NAF1
IPO5+WDR43,0.0008344601596536,IPO5,WDR43
IMP4+RPS19,0.0008345253046191,IMP4,RPS19
GATA2+GFI1B,0.0008357404900383,GATA2,GFI1B
FGF16+FGFR2,0.0008357429326497,FGF16,FGFR2
MPHOSPH10+WDR12,0.000838564384158,MPHOSPH10,WDR12
FZD2+WNT7A,0.0008408873248145,FZD2,WNT7A
MCM3+PLK1,0.0008447566111485,MCM3,PLK1
EFNA2+EPHA6,0.0008458899993506,EFNA2,EPHA6
AGFG1+RAB9B,0.0008476138120804,AGFG1,RAB9B
RPL35+RPS15,0.0008481555785304,RPL35,RPS15
FANCM+UBE2V2,0.000848851916251,FANCM,UBE2V2
CYP2S1+GSTA3,0.0008520619968793,CYP2S1,GSTA3
CNGA4+CNGB1,0.0008530398661258,CNGA4,CNGB1
APOM+LCAT,0.0008539231709213,APOM,LCAT
DTL+FANCI,0.0008575708499601,DTL,FANCI
EPB42+SPTB,0.0008579656961287,EPB42,SPTB
RYK+WNT7A,0.0008632823298319,RYK,WNT7A
RAB28+SLC25A31,0.0008642584103085,RAB28,SLC25A31
CDCA3+CENPF,0.0008659629868372,CDCA3,CENPF
FASLG+FOXO3,0.0008664301536591,FASLG,FOXO3
DVL2+WNT5B,0.0008670624544701,DVL2,WNT5B
BRCA2+ROCK2,0.0008696746806088,BRCA2,ROCK2
CHMP6+MVB12A,0.0008699568441803,CHMP6,MVB12A
ADRB2+GRB2,0.0008711498790022,ADRB2,GRB2
KIF11+KIF17,0.0008722713552246,KIF11,KIF17
C9+HSPA9,0.0008741846993569,C9,HSPA9
COQ2+UBIAD1,0.0008752936732893,COQ2,UBIAD1
IZUMO3+IZUMO4,0.0008793874671667,IZUMO3,IZUMO4
CEBPZ+TRMT61A,0.0008824151630363,CEBPZ,TRMT61A
ZMAT5+ZRSR2,0.0008824230477327,ZMAT5,ZRSR2
PHB2+PMPCA,0.000882663101171,PHB2,PMPCA
FLNA+WNT5A,0.0008833798649365,FLNA,WNT5A
RING1+SCMH1,0.0008840155496369,RING1,SCMH1
RAP1B+TLN1,0.0008859083165629,RAP1B,TLN1
EIF2S3+RPS15,0.0008863433929152,EIF2S3,RPS15
CASP1+NLRP7,0.0008868560586409,CASP1,NLRP7
GID4+MAEA,0.0008869821775404,GID4,MAEA
GTF3C5+POLR3F,0.0008877474425167,GTF3C5,POLR3F
ITCH+PSMB7,0.0008883684559877,ITCH,PSMB7
CKAP5+KIF19,0.0008899210179295,CKAP5,KIF19
ATP2A1+KAT5,0.0008902783348813,ATP2A1,KAT5
GATA2+POU1F1,0.0008922207141718,GATA2,POU1F1
PRKACG+RAP1B,0.00089320239946,PRKACG,RAP1B
PITX2+TFAP2C,0.0008947371114654,PITX2,TFAP2C
KCNC1+KCNIP2,0.0008975903140504,KCNC1,KCNIP2
KPNB1+NXT2,0.0008984234321908,KPNB1,NXT2
GUF1+MRPL21,0.000900037409258,GUF1,MRPL21
GTF2H5+TAF2,0.0009016498787364,GTF2H5,TAF2
GATA2+KLF1,0.0009094580299343,GATA2,KLF1
PTCH1+SMURF1,0.0009100180338282,PTCH1,SMURF1
SGK1+UBB,0.0009109950295889,SGK1,UBB
CSF3+JAK1,0.0009127890253465,CSF3,JAK1
WNT1+WNT10A,0.0009136657583766,WNT1,WNT10A
GNAI2+SYT5,0.0009150328062058,GNAI2,SYT5
NDUFC1+UQCRH,0.0009150635060654,NDUFC1,UQCRH
MCM6+TTK,0.0009161387367873,MCM6,TTK
EP400+VPS72,0.0009174070611185,EP400,VPS72
MYLK+MYLPF,0.0009183857700477,MYLK,MYLPF
CRH+UCN2,0.0009188634337111,CRH,UCN2
ADCY10+PDE4A,0.0009236015119378,ADCY10,PDE4A
CENPF+MCM10,0.0009264717111683,CENPF,MCM10
RPL10+RPS15,0.0009267178745869,RPL10,RPS15
FCF1+FTSJ3,0.0009289028746653,FCF1,FTSJ3
PIGL+PIGO,0.0009296299919807,PIGL,PIGO
GOLGA7B+SPTLC3,0.0009314580000096,GOLGA7B,SPTLC3
DCAF4+FBXW5,0.0009353132966284,DCAF4,FBXW5
BRD9+DPF3,0.0009370975852114,BRD9,DPF3
FCF1+WDR46,0.0009391086766893,FCF1,WDR46
AMFR+USP13,0.000939418134948,AMFR,USP13
RPS11+RPS15,0.000941293967748,RPS11,RPS15
UBE2D3+UHRF2,0.000943453945582,UBE2D3,UHRF2
GDI1+RAB6B,0.0009438102626123,GDI1,RAB6B
PES1+TFB2M,0.0009448471387969,PES1,TFB2M
E2F6+EHMT2,0.0009451883858845,E2F6,EHMT2
CROT+NUDT7,0.0009453111126218,CROT,NUDT7
RRM1+RRM2,0.0009456059711677,RRM1,RRM2
RNF216+TRAF3,0.0009465408528221,RNF216,TRAF3
SEC16B+TMEM18,0.0009497252081605,SEC16B,TMEM18
CYP4A11+SMARCD3,0.0009531462265351,CYP4A11,SMARCD3
LYRM4+NFS1,0.0009531727855172,LYRM4,NFS1
RPL7+RPS15,0.0009533353980882,RPL7,RPS15
FAM120B+THRAP3,0.0009539955623466,FAM120B,THRAP3
ROBO1+ROBO2,0.0009552702093608,ROBO1,ROBO2
PRKRIP1+SNRPD2,0.0009553482508939,PRKRIP1,SNRPD2
PEBP1+RAP1B,0.0009554424925822,PEBP1,RAP1B
EIF3B+WDR31,0.0009560015849026,EIF3B,WDR31
MYOZ3+TCAP,0.0009592769012366,MYOZ3,TCAP
CDT1+TFDP1,0.0009601841352089,CDT1,TFDP1
DVL1+SAG,0.0009630429471967,DVL1,SAG
GLI3+PSMD11,0.0009645917846337,GLI3,PSMD11
KAT5+ZNF668,0.0009646356282496,KAT5,ZNF668
HNRNPA2B1+TRA2A,0.0009673378969282,HNRNPA2B1,TRA2A
TRPM7+TRPV5,0.0009677710664515,TRPM7,TRPV5
TRAPPC13+TRAPPC6B,0.0009688863474815,TRAPPC13,TRAPPC6B
MED19+MED30,0.0009689676161084,MED19,MED30
PI4KB+PIK3C2A,0.0009698138798398,PI4KB,PIK3C2A
CNOT3+TNRC6C,0.0009701896497271,CNOT3,TNRC6C
MCM2+PKMYT1,0.0009746659561841,MCM2,PKMYT1
RPL36+RPS15,0.0009775947155634,RPL36,RPS15
GLDC+SHMT2,0.0009782442926735,GLDC,SHMT2
RPS15+RPS18,0.0009783777344115,RPS15,RPS18
CDT1+CHEK2,0.0009788951794603,CDT1,CHEK2
MRPS34+TRMU,0.0009819886493481,MRPS34,TRMU
CARS2+NARS2,0.0009825224367003,CARS2,NARS2
DAO+IDH1,0.0009845084468079,DAO,IDH1
ZKSCAN3+ZNF444,0.0009849132152539,ZKSCAN3,ZNF444
PDCD11+RPS27L,0.000986115096144,PDCD11,RPS27L
RPL27A+RUVBL1,0.000986826842313,RPL27A,RUVBL1
MYL5+ROCK2,0.0009893212312535,MYL5,ROCK2
ASF1B+TPX2,0.0009894810047922,ASF1B,TPX2
CXCR4+GNAO1,0.0009894967534733,CXCR4,GNAO1
CLCN6+FAM131B,0.0009898526925938,CLCN6,FAM131B
BEST1+CLCN1,0.0009899980870855,BEST1,CLCN1
EP300+SP1,0.0009901740944515,EP300,SP1
BRCA2+RFC1,0.0009930730729765,BRCA2,RFC1
FGF3+PDGFRB,0.0009930744548124,FGF3,PDGFRB
CDCA3+CTDSP1,0.0009940967547687,CDCA3,CTDSP1
PDE6C+RGS9,0.0009948583240301,PDE6C,RGS9
COL2A1+CRTAP,0.0009959671333238,COL2A1,CRTAP
ACTL6B+ARID4A,0.0009975067543246,ACTL6B,ARID4A
BMS1+PDCD11,0.000998694498705,BMS1,PDCD11
EIF2S3+TCP1,0.0009991563830312,EIF2S3,TCP1
MTX1+VDAC1,0.0009994980320891,MTX1,VDAC1
ARSG+ARSK,0.0010015259698915,ARSG,ARSK
CACNG6+CATSPERD,0.0010081760485907,CACNG6,CATSPERD
RPIA+TKTL1,0.001009398946178,RPIA,TKTL1
NFATC1+XPO1,0.0010169076129526,NFATC1,XPO1
AAAS+CPSF3,0.001019441552135,AAAS,CPSF3
PSMA4+PSMB6,0.0010202458879899,PSMA4,PSMB6
GORASP1+GOSR1,0.0010226772623216,GORASP1,GOSR1
DCT+SLC45A2,0.0010234267175872,DCT,SLC45A2
IGSF5+TJP1,0.0010251458512744,IGSF5,TJP1
MYF6+TCF4,0.0010258493512645,MYF6,TCF4
CEP164+FBF1,0.0010267394476851,CEP164,FBF1
KDM3B+SMARCB1,0.0010276508263151,KDM3B,SMARCB1
OPN1LW+TEX28,0.0010280414277771,OPN1LW,TEX28
SLC38A9+TSC1,0.0010294910979457,SLC38A9,TSC1
RPL11+RPS15,0.0010295020982829,RPL11,RPS15
RPS15+RPS6,0.0010302265237663,RPS15,RPS6
AHI1+SPATA7,0.0010305646025395,AHI1,SPATA7
FIS1+TOMM20,0.0010315683253445,FIS1,TOMM20
IRAK1+TICAM1,0.001032634203921,IRAK1,TICAM1
FOXA1+TFAP2C,0.0010343597088257,FOXA1,TFAP2C
BSN+CTBP2,0.0010349318513788,BSN,CTBP2
IL17A+ITGAM,0.0010394040525308,IL17A,ITGAM
RAN+RANBP3,0.0010428840318682,RAN,RANBP3
FLT1+PLXNA4,0.0010439204550702,FLT1,PLXNA4
SLC26A6+SLC9A3R1,0.0010450382885444,SLC26A6,SLC9A3R1
COX4I1+COX7B,0.0010464548464745,COX4I1,COX7B
GEMIN6+NUP54,0.0010508014606516,GEMIN6,NUP54
ACR+IZUMO4,0.0010539811028552,ACR,IZUMO4
COL26A1+PLOD1,0.0010563167857746,COL26A1,PLOD1
AGO2+HTT,0.00106303347905,AGO2,HTT
MAGT1+TRPM7,0.0010633168907866,MAGT1,TRPM7
PRPS1L1+RPIA,0.0010640819551405,PRPS1L1,RPIA
RANBP6+RRP12,0.0010647526711411,RANBP6,RRP12
DDX20+NUP54,0.0010681898260714,DDX20,NUP54
PRKCA+PRR5,0.0010750579533219,PRKCA,PRR5
SCMH1+SUMO2,0.0010833904388375,SCMH1,SUMO2
AGXT+NUDT7,0.0010840579581632,AGXT,NUDT7
CANX+CD74,0.0010849866266258,CANX,CD74
ACSL4+AMMECR1,0.0010851222701846,ACSL4,AMMECR1
RPL10+RPS24,0.0010865471412801,RPL10,RPS24
C17orf64+SUPT16H,0.0010880586580362,C17orf64,SUPT16H
DVL1+HECW1,0.0010901480961772,DVL1,HECW1
CHD3+MTA3,0.0010902496771141,CHD3,MTA3
CDC23+FBXO5,0.0010929005495354,CDC23,FBXO5
IL3+THPO,0.0010932251004166,IL3,THPO
ENAM+TUFT1,0.0010936715297182,ENAM,TUFT1
DVL1+WNT3A,0.0010944835031444,DVL1,WNT3A
CDK1+NDC1,0.001095341270982,CDK1,NDC1
GDI2+TRAPPC4,0.0010957630586101,GDI2,TRAPPC4
LIG3+RFC3,0.0010960098222383,LIG3,RFC3
EIF3E+RPS29,0.0010961655833953,EIF3E,RPS29
PTPN13+PTPN2,0.0010972994870169,PTPN13,PTPN2
NFKBIA+PRKACG,0.0010973896709725,NFKBIA,PRKACG
CACNA1H+CATSPERG,0.0011002699871187,CACNA1H,CATSPERG
RPL35+RPS3,0.001101032960216,RPL35,RPS3
CNGB3+RD3,0.0011021288405752,CNGB3,RD3
CSDE1+PAIP1,0.0011035584254712,CSDE1,PAIP1
CBX8+MLLT3,0.0011035760763734,CBX8,MLLT3
MBD3L1+ZNF219,0.0011086543938243,MBD3L1,ZNF219
HSPA5+HSPBP1,0.0011138951729125,HSPA5,HSPBP1
GH2+THPO,0.0011199687913186,GH2,THPO
LDB3+MYBPC3,0.0011202217535726,LDB3,MYBPC3
NDC1+SNRPF,0.0011209693677817,NDC1,SNRPF
ASPSCR1+NPLOC4,0.0011220078400995,ASPSCR1,NPLOC4
DHX37+FTSJ3,0.0011224957347649,DHX37,FTSJ3
DTL+TPX2,0.0011252948063041,DTL,TPX2
DKK2+WNT10A,0.0011265220315057,DKK2,WNT10A
LARP4+LARP6,0.0011278475469668,LARP4,LARP6
FAM32A+PRKRIP1,0.0011281343953566,FAM32A,PRKRIP1
GABBR1+GRM1,0.0011285566349886,GABBR1,GRM1
CDT1+DTL,0.0011296654705232,CDT1,DTL
GATA2+GATA3,0.0011320582909269,GATA2,GATA3
DEFA4+ELANE,0.0011330813598346,DEFA4,ELANE
SMYD3+WDR5,0.0011355146425422,SMYD3,WDR5
B3GNT7+MUC21,0.0011375326789767,B3GNT7,MUC21
DMAP1+RNF220,0.00114096840984,DMAP1,RNF220
ITGAM+PLG,0.0011437457155611,ITGAM,PLG
AZU1+ELANE,0.0011443875760795,AZU1,ELANE
BUB3+XPO1,0.0011468544381158,BUB3,XPO1
GEMIN2+GEMIN5,0.0011475538416648,GEMIN2,GEMIN5
TPX2+TTK,0.0011492256213081,TPX2,TTK
NHP2+RUVBL1,0.0011493587152494,NHP2,RUVBL1
FOXRED1+NDUFA1,0.0011497223190464,FOXRED1,NDUFA1
SCN10A+SCNN1B,0.0011531400099608,SCN10A,SCNN1B
PAK1IP1+WDR43,0.0011561925961986,PAK1IP1,WDR43
CCL16+CCR2,0.001158643643388,CCL16,CCR2
LHX2+ROBO2,0.0011587657280648,LHX2,ROBO2
RPLP0+RPS15,0.0011591301520717,RPLP0,RPS15
RPS16+RUVBL1,0.0011649637354004,RPS16,RUVBL1
PIK3CA+PIK3R6,0.0011671753550659,PIK3CA,PIK3R6
F2R+GNAO1,0.0011703374257377,F2R,GNAO1
DRD2+GNAO1,0.0011733076584211,DRD2,GNAO1
DTL+MCM10,0.0011754146925023,DTL,MCM10
RPL12+RPS15,0.0011766462785434,RPL12,RPS15
FANCB+RAD17,0.0011770273182947,FANCB,RAD17
ETV2+GATA2,0.0011783460752889,ETV2,GATA2
DCP1A+EP300,0.0011804617020783,DCP1A,EP300
ST8SIA2+STX2,0.0011814630741952,ST8SIA2,STX2
TAC3+TRPC7,0.0011820219656213,TAC3,TRPC7
MYH9+MYL2,0.0011826905905498,MYH9,MYL2
COL20A1+CRTAP,0.0011832584392565,COL20A1,CRTAP
EGF+ZFYVE28,0.0011843136683624,EGF,ZFYVE28
ESR1+PIK3CA,0.0011899168293376,ESR1,PIK3CA
SETD2+WDR82,0.0011907305317097,SETD2,WDR82
ABL1+ROBO2,0.0011930897237379,ABL1,ROBO2
PAK6+ROBO2,0.0011947715695701,PAK6,ROBO2
LAS1L+TAF7,0.0012003991445092,LAS1L,TAF7
POLQ+STIL,0.0012036619695742,POLQ,STIL
RPS15+RPS5,0.0012045288252426,RPS15,RPS5
ADAM15+NPHP1,0.001206151295762,ADAM15,NPHP1
EPOR+PIK3R1,0.0012084817873717,EPOR,PIK3R1
BEST2+CFTR,0.0012104658320992,BEST2,CFTR
CD300C+LILRB4,0.0012129945430282,CD300C,LILRB4
GSK3B+SUFU,0.0012184887521047,GSK3B,SUFU
PCGF2+PCGF6,0.0012220545690769,PCGF2,PCGF6
EIF2S3+RPS3,0.0012239832026795,EIF2S3,RPS3
SLC15A1+SLC22A16,0.0012258503317912,SLC15A1,SLC22A16
PSMB6+UGGT1,0.001228245380361,PSMB6,UGGT1
IMP4+NOL12,0.0012297974261125,IMP4,NOL12
ASCL1+ID2,0.0012315685605232,ASCL1,ID2
GLI3+OFD1,0.0012322308919197,GLI3,OFD1
CENPA+CEP55,0.0012332345362119,CENPA,CEP55
PAXIP1+TIPIN,0.0012336794448509,PAXIP1,TIPIN
CARM1+SMARCC1,0.0012339359368769,CARM1,SMARCC1
ATP6V0A2+ATP6V1B2,0.0012343434846555,ATP6V0A2,ATP6V1B2
PABPC1L2A+PAIP1,0.0012356506271939,PABPC1L2A,PAIP1
LAS1L+TAF4,0.0012360000435354,LAS1L,TAF4
NUDT17+TMCO5A,0.0012370021192738,NUDT17,TMCO5A
DVL1+FZD10,0.0012379551116511,DVL1,FZD10
NSUN3+PDCD11,0.0012408323123364,NSUN3,PDCD11
DNA2+LIG4,0.0012413992316491,DNA2,LIG4
PLK1+TOPORS,0.0012432147313444,PLK1,TOPORS
SAR1A+SEC16A,0.0012448809705387,SAR1A,SEC16A
SPTB+SPTBN1,0.0012459347170015,SPTB,SPTBN1
FOXM1+NPM1,0.0012463622584002,FOXM1,NPM1
ADRB2+BSG,0.0012468326457946,ADRB2,BSG
ATF4+PRKACB,0.0012471212263034,ATF4,PRKACB
CXCL8+ELANE,0.0012554631170151,CXCL8,ELANE
ADCY2+ADRA2C,0.0012555215813043,ADCY2,ADRA2C
SPTA1+SPTBN4,0.0012579767592772,SPTA1,SPTBN4
ATP2A1+SRL,0.001258884234391,ATP2A1,SRL
SEMA3D+TBX18,0.0012619768553502,SEMA3D,TBX18
F10+F7,0.0012632974311624,F10,F7
CLTC+DVL2,0.0012640791599783,CLTC,DVL2
DIO1+GPBAR1,0.0012646881898559,DIO1,GPBAR1
GTPBP4+PDCD11,0.0012650053938988,GTPBP4,PDCD11
KCNH2+KCNH6,0.001265228926964,KCNH2,KCNH6
DVL1+WNT6,0.0012669328428631,DVL1,WNT6
ADAMTS3+SPON2,0.0012727714600341,ADAMTS3,SPON2
CHD3+HDAC1,0.0012727800732315,CHD3,HDAC1
POLD1+PRKDC,0.0012768564239872,POLD1,PRKDC
