Gene1,Gene2,p_value
CDC14A,PLK1,2.4565028019572708e-05
TPX2,UBE2C,2.4569094824445623e-05
ADRB2,NPY,2.4615382756585928e-05
DLGAP5,KIF23,2.462614462720292e-05
PPP2R1A,RAF1,2.4632276079016172e-05
CELSR3,VANGL2,2.477022581256999e-05
F2,PROC,2.4774583136039253e-05
GLRX3,ISCA2,2.4854540158890225e-05
EOGT,OGT,2.496921171187728e-05
AP1G1,BBS7,2.506083539506022e-05
FKBP6,PIN1,2.51753308432783e-05
KIF14,KIF18A,2.5285286955824943e-05
AR,NCOA1,2.5286566291398893e-05
SNAP47,STX12,2.5405469185561793e-05
PIN1,TP73,2.551095301972964e-05
MYOZ1,TNNI2,2.552474472185015e-05
HENMT1,PNLDC1,2.5580567640949323e-05
DTL,PLK4,2.5627717369826977e-05
BCCIP,NHP2,2.5730614239409047e-05
MDN1,PDCD11,2.5942644775103172e-05
IPO5,RANBP2,2.6009526181197105e-05
NSD1,PLOD1,2.6019710151725863e-05
THOC2,THOC5,2.62186611524225e-05
MCMDC2,RFC3,2.627737049317615e-05
COX6C,SDHC,2.6404453912661527e-05
FPR1,STAT3,2.640721348577086e-05
SPTBN1,SPTBN4,2.6752045129275277e-05
CALML5,PHKA1,2.6756309093121296e-05
GPS1,MCRS1,2.6767723430716465e-05
RNF113A,SNRNP200,2.6779634913395143e-05
PSMC1,RPL18A,2.6836914828080723e-05
BMPR2,GDF6,2.7140379254058975e-05
KCMF1,UBE2A,2.7336197017909105e-05
ANLN,KIF14,2.7336838067645155e-05
HSPA4,RAF1,2.7337300588637768e-05
GLI3,PRKACA,2.7397409805180257e-05
EDAR,SLC24A5,2.7427263365477023e-05
GCKR,RANBP2,2.759479985035246e-05
RPL10L,RPS24,2.767684955309662e-05
HJURP,KIF14,2.776440594545607e-05
SEC23IP,ZNF668,2.7784978178852188e-05
PSMC1,RBL2,2.8273772531371524e-05
GCKR,NUP107,2.834114081924443e-05
CA8,CYP24A1,2.8571737757238057e-05
PKMYT1,PRMT5,2.8672289974464067e-05
MRPL11,RPS5,2.86956527733511e-05
MCFD2,SEC24D,2.9075462626123565e-05
GCKR,NUP35,2.9085482928278103e-05
DDX20,NUP98,2.917900652175888e-05
RPL13,RPL19,2.9552373042152115e-05
ATP6V0D1,C12orf66,2.9660086626819024e-05
DEAF1,XRCC6,2.9760124916171584e-05
KCNQ3,SPTAN1,2.984895278365504e-05
HDAC2,MTA3,3.007745008420842e-05
SHOC2,WDR82,3.0148583081673263e-05
EXOSC2,FBL,3.0272245245194535e-05
DDX58,NOD2,3.0355169879678467e-05
FAM120B,RXRA,3.0406252056302893e-05
B3GALT4,WDR46,3.0429131641552578e-05
GTF2F2,SUPT16H,3.070000137614335e-05
CC2D2A,NPHP1,3.087661981405619e-05
CHRNA6,JAK2,3.090760615363222e-05
APEX1,RFC3,3.0978665342096725e-05
PSMC1,PSMC3,3.101184209826677e-05
FAM83A,RAF1,3.1577750887474824e-05
PPP1R15A,RGMA,3.263282826132557e-05
SMIM15,SREK1IP1,3.269223717442346e-05
CHUK,TNFRSF4,3.2793668786034395e-05
PLK1,TK1,3.291982645183507e-05
DHX16,MAGOHB,3.3046176706551445e-05
FTSJ3,GPATCH4,3.34402148557141e-05
F2,PRKAR1B,3.3505566513329695e-05
ITGB1,PRKAR1B,3.3576266399133234e-05
MLC1,PRKAR1B,3.3803718854295386e-05
GTPBP4,ZNF622,3.381862909338925e-05
APP,PICALM,3.390580685817191e-05
LSM5,SF3B2,3.3912984286371494e-05
OGT,PIK3CD,3.3921051164884926e-05
KIR3DL1,PTPN6,3.395776829638155e-05
GATA3,IL17A,3.431040953583802e-05
HNRNPK,RCC1,3.453894388727715e-05
ARCN1,RINT1,3.463959662549232e-05
CENPA,TYMS,3.464261766243903e-05
MTA3,RBBP4,3.4832749807724124e-05
CENPF,KIF15,3.494815569690939e-05
PRKACG,PRKAR1B,3.5021189027527554e-05
HNRNPR,PCBP2,3.504180652911426e-05
KIF14,MKI67,3.504714909606883e-05
HSPA8,RAF1,3.519408474711455e-05
ADCY8,PRKAR1B,3.528504033106136e-05
CCNA1,KIF11,3.547378941480576e-05
SLC35B1,TM9SF4,3.580294747999495e-05
PLK1,RAB1A,3.608026098056094e-05
ADCY8,PDE1B,3.6371657901315445e-05
JAK1,PIK3CA,3.6410966930502e-05
CDC42,EXOC3,3.64338038939973e-05
EXOSC2,RRP7A,3.646118703465704e-05
KAT5,RAD9A,3.647495201976605e-05
RAF1,UBC,3.669846117787732e-05
RPL18,WDR31,3.6979312158097744e-05
TBX18,TLE3,3.75549050838989e-05
MRPL47,RPS15,3.772688904178711e-05
POLR3F,TBP,3.78719603549615e-05
ANLN,MAD2L1,3.798310804877082e-05
IFI44L,SP110,3.860915713537237e-05
ACTRT3,LRRC34,3.862788333423823e-05
ABT1,WDR46,3.864539511358606e-05
FAHD1,SDHC,3.864798826132068e-05
TAF5L,TAF7L,3.8720572699428186e-05
PLCB1,PLCD3,3.892709800846888e-05
RAF1,UBB,3.947665255383858e-05
NFKBIA,PSMC1,3.984910596862527e-05
GRIA1,SCFD1,4.034915102605193e-05
APOOL,MFN1,4.05822391187765e-05
CTNNB1,CUL1,4.13658137046329e-05
RAD1,TOPBP1,4.13789089590906e-05
RPL19,RPS24,4.1786243835584715e-05
CDC37,RAF1,4.1867708949873976e-05
PPP4R4,WDR82,4.193766307435689e-05
BIRC5,RAD54L,4.2013299536649776e-05
ADAMTS15,THSD1,4.2312527593613624e-05
HSPA13,LIPI,4.2611563235993465e-05
SLC38A7,YIPF2,4.297640483794586e-05
FKBP6,HENMT1,4.309452077987843e-05
IDE,NUDT7,4.319040317509827e-05
COX10,COX6B1,4.3562710564849867e-05
LSM4,SNRPB,4.386571172468974e-05
HSP90AB1,RAF1,4.399964295605763e-05
RPL11,RPS24,4.401745094438654e-05
MPI,PFKFB3,4.439237624208115e-05
ADCY10,PDE1B,4.450230907525824e-05
RPS18,RPS24,4.4574221574663935e-05
USE1,VAMP7,4.463642493591155e-05
PRKACG,RAF1,4.482136939325613e-05
TRPC1,TRPC3,4.487604564148784e-05
CDCA3,CKAP2,4.54752484113959e-05
CLIP1,DNAH1,4.5571094275519555e-05
CFTR,PRKAR1B,4.562287543726623e-05
CMPK2,NME7,4.597525144224347e-05
DBI,UBE2V2,4.663728200886381e-05
TAF6,TP53,4.67693318703351e-05
PIN1,YWHAQ,4.714693812815077e-05
MELK,SKA3,4.7220694375717304e-05
GPATCH4,WDR46,4.7869683890153606e-05
ARC,FOS,4.83617513478442e-05
GNAS,MAGED2,4.840441739196857e-05
KRAS,NTRK3,4.846525096957019e-05
CDT1,MCM6,4.853269752329145e-05
CLDN6,ESAM,4.871981343401961e-05
KIF11,MCM7,4.8811768197288405e-05
FOS,GATA3,4.893605335753509e-05
PRKACG,SP1,4.895996045954874e-05
ACTA1,CFL2,4.9380767412962385e-05
PLK1,UBE2C,5.005359783705015e-05
KDSR,SGPP1,5.082501076015297e-05
RPL28,RPS5,5.0859835928116755e-05
ISG20,MX1,5.1603009928673207e-05
MTERF4,TFB1M,5.202955425616822e-05
BUB1,CDC16,5.261924025105888e-05
EED,PAXIP1,5.2661788891999885e-05
KPNB1,NFATC1,5.2883659879360953e-05
RRP1,RRP9,5.311375360673456e-05
DDX20,SEC13,5.3177520161141023e-05
CASP7,MAPT,5.318383989472475e-05
MPHOSPH10,RPS19,5.340901953365559e-05
CDCA8,KIF14,5.3455580125299e-05
RPL10,RPL13,5.3524645892441817e-05
GART,PPAT,5.372613766508913e-05
EEF1A1,RPS24,5.3864515899849145e-05
APOH,ITIH2,5.4008521399748865e-05
BNIP1,NSF,5.443395829904128e-05
SEC24D,UROC1,5.4882045695123894e-05
CDS2,DGKB,5.5022866881543257e-05
MAP2K6,MAP3K9,5.5136829989556245e-05
ESR2,GNAS,5.536606713955514e-05
MCM7,TIPIN,5.549136883704996e-05
HSPA12B,HSPA8,5.569068290220365e-05
HIF3A,UBE2D3,5.576002514905518e-05
ARC,GRIN1,5.610372438157915e-05
EIF3A,MTIF2,5.622723522237923e-05
EIF4E2,EIF4G3,5.630510402419555e-05
MLH1,RAD51,5.653284635539869e-05
ACTN4,INF2,5.6607948211493205e-05
WNT7A,WNT8B,5.664285841604414e-05
ACE,ATP12A,5.6878370804240706e-05
SCNN1D,UBA52,5.708184837413064e-05
CETN1,MCM3AP,5.709597586031024e-05
FZD1,VANGL1,5.759687584864766e-05
BUB1,PLK4,5.833790566586456e-05
DTL,RBX1,5.8487342981459034e-05
DDX20,LSM11,5.8767999839591405e-05
IFNL3,JAK1,5.880507922691147e-05
ADORA1,GNAI2,5.883070906356212e-05
AGXT,IDE,5.8925986736574247e-05
DENR,MCTS1,5.90049905621107e-05
LMAN1,TRAPPC2,5.9469301965109285e-05
CMPK1,CMPK2,5.949426049758595e-05
RPF2,WDR46,5.996274305117319e-05
MAPK8IP2,MIOX,6.001416491702136e-05
MAD2L1BP,PLK1,6.046968906162976e-05
ASPM,KIF14,6.059339165335845e-05
ASH2L,EP300,6.0994655407983256e-05
SMC1B,SYCE3,6.123197216731914e-05
DDX52,TTC27,6.126281095154059e-05
NCBP2L,TGS1,6.153533518913322e-05
TWIST2,ZEB1,6.183352058735907e-05
HJURP,TROAP,6.19617256543902e-05
NOS1AP,TCHP,6.239652206150605e-05
EPN2,SGIP1,6.243158989484105e-05
HLA-DQA1,HLA-DQB2,6.252604896610849e-05
CEBPZ,RRP15,6.354775808288728e-05
ARID1A,TOP2B,6.421039213849825e-05
GUCY2F,PDE1B,6.424062327327912e-05
CACNG2,HTR3A,6.43344180054842e-05
EZR,PRKAR1B,6.459262595646065e-05
CDK1,SPDYA,6.464949542645173e-05
CDCA3,KIF15,6.486248089734598e-05
PRKAR1B,SLC9A3R1,6.521751235669742e-05
BRCA2,HOPX,6.527305758139662e-05
PCNA,TIPIN,6.530613285455693e-05
BNIP1,RINT1,6.542793064531703e-05
PROC,SERPINC1,6.548159196303631e-05
CDC20,KIF14,6.578083584741615e-05
CDH2,PTPN11,6.588589994271658e-05
CDIPT,PIGP,6.623159030147007e-05
SLC30A10,SLC39A9,6.648389949546934e-05
TAF5L,USP22,6.67178959233195e-05
CPSF7,CSTF3,6.695861052633776e-05
GDF6,GREM1,6.711105942656294e-05
TAF12,TAF3,6.722062669450598e-05
KIF14,TPX2,6.74871416123617e-05
PRPH2,RD3,6.804478856220955e-05
SMS,SPATS2,6.867833893215663e-05
GNB5,MAPK1,6.884889415877713e-05
UBL7,UBQLN2,6.893936705322477e-05
B2M,KIR2DL4,6.927283643120762e-05
CUL1,UBE2R2,6.968602446683966e-05
TRPC6,TRPV3,7.000626894668753e-05
AP1G1,AP2A1,7.072838831750247e-05
KANSL1,TAF7,7.089587780600119e-05
ATP2A2,SRL,7.104397818319242e-05
CSTA,CTSV,7.120003009173264e-05
ACTA1,PHACTR1,7.184832705893788e-05
CDH2,CTTN,7.185091842549426e-05
DEFA5,DEFB121,7.194973555014088e-05
AURKB,MELK,7.200814214482122e-05
KIT,SH2B2,7.238036933752505e-05
IL3,JAK1,7.247993845382619e-05
TAF12,USP22,7.252190067504491e-05
FBLN1,MFAP2,7.267037354938547e-05
DDX20,NUP188,7.267056008213038e-05
MYB,NCOR1,7.272838722666905e-05
RBPJ,TLE4,7.274578334875467e-05
DTL,RBBP7,7.307718507547343e-05
CUL2,LRR1,7.331969811168303e-05
IL9,JAK1,7.332389307931878e-05
RPLP0,TCP1,7.379802387167166e-05
UBA3,UBE2U,7.394966716320288e-05
DDX5,DHX36,7.401454364222141e-05
LZTFL1,SDCCAG8,7.480429313199307e-05
DLL4,FLT1,7.49600129045281e-05
HENMT1,PIWIL1,7.496053903447942e-05
RPL7,RPS24,7.52904284207419e-05
BMP10,GATA4,7.535453924421667e-05
CUL1,FBXO24,7.556173615682769e-05
PRPH2,RHO,7.571016283150618e-05
RAF1,SCNN1B,7.602932165958373e-05
MRPL24,MRPS5,7.613461197833612e-05
PIP4K2C,PLCB1,7.623618792721721e-05
CHSY3,CSGALNACT1,7.667920417359805e-05
TAF8,TCEA1,7.668414696712356e-05
IMP4,RPS9,7.674040093687817e-05
CLTA,SNX9,7.691996831415188e-05
FOXM1,PLK1,7.726547433809193e-05
RPS16,WDR31,7.74034648509306e-05
NCAPG,WDHD1,7.741708728371373e-05
ITGA7,LAMA1,7.818241685709708e-05
CTNNA1,RET,7.879564220257525e-05
DDX58,USP21,7.973978461666088e-05
DCC,TRIM9,7.992076672828918e-05
SEC16B,SEC23A,7.995740642025015e-05
A1CF,APOBEC3F,8.035036014157023e-05
CALM3,PHKA1,8.038495920049608e-05
DNA2,RFC1,8.064674495178384e-05
DKC1,RAD9A,8.099094649781908e-05
TRERF1,ZBTB17,8.147682191273801e-05
RBL2,RINT1,8.149021162317076e-05
CASP2,EIF4G3,8.169241573203635e-05
RPL35,RPS24,8.173307164109853e-05
COX10,UQCRC2,8.18004643031299e-05
AMFR,CANX,8.20664049710326e-05
CREBBP,NCOA2,8.284228573175586e-05
TGDS,UGDH,8.313148965333535e-05
EDF1,RPS19,8.338448168397476e-05
PANK4,PPCDC,8.37962983190673e-05
FZD7,VANGL2,8.412420580097967e-05
B2M,IL1B,8.529167376608056e-05
PLA1A,POU2F3,8.539157179521607e-05
CACNG7,HTR3A,8.542055929641156e-05
CEP55,TROAP,8.622138323986244e-05
APBA1,KIF17,8.653195575497206e-05
HTR3A,HTR3D,8.666477773923739e-05
GRIN2C,HTR3A,8.70074297160924e-05
PDE4A,SAG,8.719677940998063e-05
DDX20,NUP133,8.724286980511574e-05
CNIH2,SEC24D,8.749759537398303e-05
GATA4,TBX5,8.75601523579306e-05
HTR3A,SHISA9,8.784394197544271e-05
APOOL,TOMM40,8.808883342174308e-05
CAPRIN1,NUFIP1,8.814962174144407e-05
IL1B,IL21,8.839248718414377e-05
C1orf35,CDC40,8.852288609011889e-05
KCNQ2,SPTAN1,8.877092639546802e-05
KIF14,UBE2C,8.877643095492919e-05
TCTN1,TMEM216,8.906878558027605e-05
IL12RB1,LCK,8.982457919019509e-05
PI4KB,PIK3R5,8.992223310825472e-05
ADCY8,PDE4A,9.013690974810552e-05
AR,GATA2,9.022067298872296e-05
HSPA2,NUP107,9.027654637774407e-05
RPS24,RPS6,9.100168997883304e-05
FOXM1,KIF14,9.105711701944269e-05
SUPT3H,TBP,9.128854310292076e-05
RPN1,UBQLN2,9.14893483552546e-05
MAPK4,XPO1,9.153329755274809e-05
CDC16,HSPB11,9.15613463760964e-05
GMPPB,TGDS,9.180951607150198e-05
KRT3,KRT5,9.241172947281248e-05
APOB,PLG,9.24311362085438e-05
RFC1,XRCC5,9.244259758645912e-05
ACVR2B,GDF6,9.255134395961151e-05
P4HB,SERPINH1,9.274217934089104e-05
EDA,EDA2R,9.312674898809972e-05
APOO,CHCHD6,9.313083416820822e-05
RPS23,RPS3,9.429092904896498e-05
TRPM4,TRPV3,9.435201310900528e-05
MPHOSPH10,RPS11,9.438916488002624e-05
USP16,USP21,9.449217826599504e-05
IGFBP4,WNT3A,9.489440952368688e-05
GTF2F1,NR3C1,9.513421474709638e-05
WIF1,WNT2B,9.539447181074298e-05
DTL,NUF2,9.579929990059616e-05
TK1,UBE2C,9.582460742242628e-05
GRB2,ZFYVE28,9.6259284726622e-05
EPHA3,EPHA4,9.637161394664132e-05
AURKC,KIF11,9.648462359236802e-05
HIP1R,PICALM,9.673509407898034e-05
NEK2,ZWINT,9.678279020185008e-05
NTRK2,SHC3,9.689028582226451e-05
ATRIP,TIPIN,9.699968878040075e-05
KIF11,TPX2,9.75869802519871e-05
CTF1,JAK1,9.76111909505774e-05
DLG1,SCN5A,9.779956291602928e-05
GATA3,LMO2,9.820226889584167e-05
RPS11,RPS24,9.86206899602917e-05
SKA2,SPDL1,9.922331198487684e-05
CD28,GATA3,9.943529992908055e-05
MPHOSPH10,RPS6,9.983567484388028e-05
